#Selection name CLhead2leaf in lower leaflet: 50 molecules, Num beads : 50 beads,  Average Area : 68404 A^2, Expected Bead Density : 0.00073/A^2, dr*dtheta : 0.34907 
0.00  5.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.00  10.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.00  15.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.00  20.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0025 0.0005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0 0.0 0.0 0.0 0.0
20.00  25.00 4.00  0.0005 0.0005 0.0025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.005 0.0025 0.006500000000000001 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.002 0.001 0.0 0.0 0.0 0.0015 0.0035 0.016 0.004 0.0005 0.0 0.0005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.002 0.0165 0.02 0.002 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0 0.0 0.001 0.0 0.0 0.0035 0.006 0.006500000000000001 0.0125 0.0485 0.01 0.006500000000000001 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0005 0.0005 0.006 0.0025 0.0695 0.0095 0.0
25.00  30.00 4.00  0.0235 0.0185 0.006500000000000001 0.005 0.0105 0.011 0.002 0.001 0.0005 0.001 0.0015 0.003 0.0025 0.0035 0.006500000000000001 0.004 0.01 0.0205 0.061 0.0725 0.039 0.02 0.0095 0.004 0.0015 0.0005 0.0 0.001 0.002 0.0015 0.001 0.004 0.02 0.026000000000000002 0.0285 0.036000000000000004 0.035 0.026000000000000002 0.019 0.006 0.0075 0.002 0.003 0.0045000000000000005 0.001 0.006 0.0015 0.0005 0.0015 0.0005 0.0085 0.0145 0.0205 0.0305 0.029 0.023 0.0075 0.0025 0.0185 0.0275 0.0265 0.021500000000000002 0.015 0.012 0.0095 0.0125 0.0095 0.047 0.062 0.0615 0.052000000000000005 0.059500000000000004 0.067 0.079 0.122 0.054 0.0365 0.003 0.004 0.006500000000000001 0.0045000000000000005 0.0035 0.002 0.002 0.003 0.004 0.0225 0.0135 0.0365 0.025500000000000002 0.0
30.00  35.00 4.00  0.0195 0.02 0.015 0.026000000000000002 0.039 0.0185 0.0105 0.002 0.002 0.001 0.0025 0.005 0.005 0.006500000000000001 0.006 0.004 0.005 0.01 0.0195 0.021 0.014 0.018000000000000002 0.021 0.0125 0.006 0.0035 0.0005 0.0025 0.0045000000000000005 0.0045000000000000005 0.003 0.003 0.005 0.0025 0.004 0.0175 0.0205 0.0165 0.0115 0.0205 0.026000000000000002 0.041 0.009000000000000001 0.0025 0.0035 0.0035 0.0035 0.001 0.0045000000000000005 0.0055 0.0045000000000000005 0.006 0.006500000000000001 0.0105 0.0105 0.0175 0.0285 0.048 0.09 0.079 0.037 0.017 0.011 0.009000000000000001 0.014 0.008 0.012 0.013000000000000001 0.009000000000000001 0.009000000000000001 0.008 0.0105 0.007 0.021 0.02 0.0275 0.0185 0.014 0.003 0.004 0.0045000000000000005 0.004 0.0035 0.0035 0.005 0.006 0.0045000000000000005 0.0035 0.0085 0.0115 0.0
35.00  40.00 4.00  0.0095 0.01 0.012 0.0105 0.0105 0.006500000000000001 0.0015 0.0025 0.002 0.0025 0.0015 0.003 0.0045000000000000005 0.007 0.0045000000000000005 0.0045000000000000005 0.009000000000000001 0.006 0.005 0.0075 0.006 0.008 0.0045000000000000005 0.0055 0.004 0.001 0.0015 0.0 0.0025 0.004 0.0055 0.0015 0.004 0.0045000000000000005 0.004 0.0055 0.003 0.004 0.0075 0.005 0.007 0.0045000000000000005 0.008 0.005 0.0025 0.0015 0.003 0.002 0.005 0.003 0.005 0.006 0.005 0.007 0.0055 0.011 0.0085 0.01 0.014 0.006 0.0095 0.005 0.0055 0.0085 0.0035 0.007 0.0085 0.0085 0.006 0.0035 0.006 0.0035 0.003 0.005 0.0055 0.004 0.002 0.005 0.003 0.0025 0.0015 0.0025 0.006 0.0005 0.003 0.002 0.006500000000000001 0.005 0.0075 0.004 0.0
40.00  45.00 4.00  0.0115 0.009000000000000001 0.007 0.0085 0.0035 0.005 0.0015 0.003 0.004 0.003 0.006500000000000001 0.0035 0.0075 0.0055 0.009000000000000001 0.0045000000000000005 0.006500000000000001 0.006500000000000001 0.0035 0.005 0.0045000000000000005 0.0045000000000000005 0.004 0.007 0.004 0.0045000000000000005 0.002 0.0045000000000000005 0.005 0.0045000000000000005 0.006500000000000001 0.006 0.005 0.008 0.011 0.01 0.007 0.006500000000000001 0.0035 0.0045000000000000005 0.0055 0.0055 0.003 0.0035 0.004 0.0035 0.0045000000000000005 0.0055 0.005 0.006 0.006500000000000001 0.006500000000000001 0.0075 0.007 0.005 0.0045000000000000005 0.01 0.0055 0.0085 0.0095 0.006500000000000001 0.009000000000000001 0.0075 0.0045000000000000005 0.002 0.0075 0.012 0.006 0.007 0.0075 0.007 0.009000000000000001 0.006 0.004 0.0045000000000000005 0.006 0.0045000000000000005 0.0015 0.0035 0.003 0.004 0.006 0.0055 0.0055 0.0085 0.0045000000000000005 0.008 0.0055 0.006500000000000001 0.0075 0.0
45.00  50.00 4.00  0.01 0.006500000000000001 0.005 0.0075 0.004 0.008 0.006 0.0075 0.0045000000000000005 0.007 0.0055 0.008 0.01 0.006500000000000001 0.012 0.0115 0.011 0.013000000000000001 0.0075 0.011 0.01 0.0075 0.006500000000000001 0.0045000000000000005 0.003 0.007 0.0085 0.006 0.011 0.008 0.0115 0.0095 0.008 0.0155 0.01 0.0115 0.006500000000000001 0.0085 0.0085 0.0045000000000000005 0.0085 0.0055 0.005 0.007 0.005 0.008 0.0085 0.0105 0.007 0.011 0.015 0.0105 0.011 0.009000000000000001 0.0085 0.0055 0.006 0.005 0.007 0.004 0.0095 0.006500000000000001 0.006500000000000001 0.008 0.008 0.011 0.0085 0.009000000000000001 0.0115 0.0105 0.0135 0.0055 0.006 0.0095 0.006500000000000001 0.006 0.006 0.0055 0.003 0.0055 0.005 0.0045000000000000005 0.01 0.008 0.0095 0.0135 0.008 0.0105 0.006 0.0115 0.0
