#Selection name CLhead2leaf in upper leaflet: 45 molecules, Num beads : 45 beads,  Average Area : 68404 A^2, Expected Bead Density : 0.00066/A^2, dr*dtheta : 0.34907 
0.00  5.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.00  10.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.00  15.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.00  20.00 4.00  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0105 0.0025 0.0 0.0 0.0 0.0 0.0
20.00  25.00 4.00  0.0 0.001 0.001 0.0045000000000000005 0.0045000000000000005 0.001 0.0 0.0 0.004 0.082 0.057 0.021500000000000002 0.006 0.0015 0.001 0.001 0.0015 0.0 0.002 0.0 0.0 0.005 0.0305 0.002 0.0 0.0 0.002 0.0045000000000000005 0.0055 0.0165 0.002 0.001 0.0 0.0005 0.0 0.0005 0.004 0.0125 0.014 0.0105 0.0095 0.015 0.017 0.0005 0.005 0.0115 0.01 0.006 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.003 0.007 0.002 0.0035 0.0005 0.003 0.003 0.0005 0.0005 0.0015 0.001 0.0015 0.0 0.0 0.0 0.0045000000000000005 0.019 0.0165 0.08650000000000001 0.047 0.015 0.0015 0.0005 0.0005 0.0 0.0
25.00  30.00 4.00  0.0 0.001 0.0 0.0005 0.028 0.062 0.025 0.0195 0.03 0.048 0.032 0.019 0.0095 0.003 0.003 0.001 0.001 0.002 0.0015 0.0005 0.0 0.0025 0.095 0.0395 0.0245 0.0275 0.0225 0.0325 0.0325 0.006500000000000001 0.002 0.002 0.0015 0.0005 0.0 0.0 0.001 0.0075 0.0 0.005 0.029500000000000002 0.034 0.033 0.0155 0.0195 0.0365 0.0235 0.006500000000000001 0.006500000000000001 0.0025 0.002 0.0005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005 0.0005 0.0015 0.0075 0.0235 0.0185 0.004 0.0015 0.0015 0.0005 0.0 0.0 0.0015 0.0 0.0 0.0005 0.0265 0.065 0.0625 0.047 0.0565 0.047 0.0325 0.0105 0.003 0.0015 0.001 0.0 0.0 0.0 0.0
30.00  35.00 4.00  0.0005 0.0 0.0 0.0 0.0 0.001 0.0185 0.0145 0.0135 0.0075 0.0055 0.0045000000000000005 0.005 0.006 0.006 0.0035 0.002 0.0015 0.0045000000000000005 0.0015 0.0005 0.0 0.0 0.0 0.006 0.012 0.0125 0.003 0.003 0.0035 0.0025 0.0015 0.003 0.0 0.0005 0.0 0.0005 0.0 0.0 0.0 0.0 0.002 0.0075 0.01 0.013000000000000001 0.012 0.003 0.004 0.002 0.005 0.004 0.003 0.0015 0.0005 0.0 0.0005 0.0 0.0 0.0 0.0 0.0035 0.005 0.0055 0.0045000000000000005 0.0085 0.005 0.002 0.0035 0.0055 0.0045000000000000005 0.0005 0.0005 0.0 0.0 0.0 0.0 0.0 0.001 0.021 0.0085 0.01 0.006500000000000001 0.002 0.004 0.0045000000000000005 0.0045000000000000005 0.0025 0.0015 0.0005 0.0005 0.0
35.00  40.00 4.00  0.0015 0.0025 0.005 0.0015 0.001 0.0035 0.014 0.0075 0.008 0.0075 0.002 0.0045000000000000005 0.0015 0.003 0.002 0.002 0.0005 0.0025 0.003 0.006 0.0045000000000000005 0.001 0.0005 0.011 0.022 0.0135 0.0105 0.0025 0.0035 0.002 0.0025 0.0015 0.001 0.0015 0.0015 0.002 0.001 0.004 0.005 0.0025 0.0005 0.009000000000000001 0.0145 0.0125 0.005 0.004 0.002 0.003 0.0025 0.0005 0.0015 0.0005 0.0035 0.002 0.003 0.004 0.0105 0.009000000000000001 0.001 0.005 0.0175 0.013000000000000001 0.006500000000000001 0.0035 0.0025 0.0005 0.001 0.0005 0.0005 0.0025 0.0005 0.001 0.0035 0.005 0.0075 0.0035 0.0015 0.009000000000000001 0.018000000000000002 0.0105 0.0045000000000000005 0.005 0.001 0.002 0.002 0.001 0.001 0.0015 0.0005 0.001 0.0
40.00  45.00 4.00  0.0015 0.004 0.0075 0.012 0.014 0.005 0.011 0.009000000000000001 0.006500000000000001 0.005 0.0025 0.0025 0.002 0.0035 0.0035 0.002 0.0045000000000000005 0.003 0.0025 0.0105 0.01 0.006500000000000001 0.0075 0.013000000000000001 0.0145 0.0105 0.005 0.005 0.0035 0.0025 0.0045000000000000005 0.003 0.002 0.0025 0.001 0.0025 0.003 0.006 0.0085 0.006500000000000001 0.0075 0.008 0.015 0.011 0.0025 0.004 0.005 0.0025 0.0 0.006500000000000001 0.002 0.004 0.0025 0.005 0.0035 0.006500000000000001 0.019 0.0145 0.0085 0.0115 0.02 0.0105 0.0105 0.0045000000000000005 0.004 0.0005 0.003 0.003 0.003 0.0035 0.002 0.001 0.002 0.008 0.0135 0.0155 0.0095 0.0095 0.0135 0.0085 0.008 0.0055 0.001 0.0025 0.0005 0.001 0.0025 0.0005 0.003 0.002 0.0
45.00  50.00 4.00  0.0075 0.004 0.006 0.012 0.0105 0.012 0.01 0.0045000000000000005 0.0095 0.0075 0.0075 0.0045000000000000005 0.0035 0.006500000000000001 0.0045000000000000005 0.0045000000000000005 0.0045000000000000005 0.003 0.007 0.0025 0.0105 0.014 0.009000000000000001 0.0115 0.0085 0.0115 0.0105 0.005 0.006500000000000001 0.0045000000000000005 0.0085 0.005 0.0035 0.006500000000000001 0.003 0.0085 0.0045000000000000005 0.006500000000000001 0.008 0.0095 0.0155 0.0095 0.0055 0.007 0.009000000000000001 0.008 0.0055 0.0045000000000000005 0.004 0.006500000000000001 0.006 0.0025 0.005 0.007 0.006500000000000001 0.011 0.0095 0.0165 0.0185 0.0195 0.012 0.009000000000000001 0.005 0.0055 0.006 0.003 0.0045000000000000005 0.005 0.004 0.005 0.0045000000000000005 0.006 0.0095 0.005 0.013000000000000001 0.016 0.0105 0.013000000000000001 0.012 0.0105 0.0035 0.0045000000000000005 0.009000000000000001 0.0045000000000000005 0.006 0.006 0.004 0.0025 0.0045000000000000005 0.0045000000000000005 0.0
